STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,7/8/1948,0,0,0,,91,58,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,7/9/1948,0,0,0,,92,54,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,7/10/1948,0,0,0,,90,57,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,7/11/1948,0,0,0,,90,58,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,7/12/1948,0,0,0,,90,57,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,7/13/1948,0,0,0,,93,59,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,7/14/1948,0,0,0,,87,60,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,7/15/1948,0,0,0,,83,59,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,7/16/1948,0,0,0,,80,53,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,7/17/1948,0.01,0,0,,76,58,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,7/18/1948,0,0,0,,80,55,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,7/19/1948,0,0,0,,90,55,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,7/20/1948,0,0,0,,90,59,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,7/21/1948,0,0,0,,84,58,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,7/22/1948,0,0,0,,84,56,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,7/23/1948,0,0,0,,91,56,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,7/24/1948,0.03,0,0,,89,66,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,7/25/1948,0,0,0,,85,59,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,7/26/1948,0,0,0,,90,60,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,7/27/1948,0,0,0,,92,60,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,7/28/1948,0.44,0,0,,86,60,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,7/29/1948,0,0,0,,86,58,
