STATION,NAME,DATE,DAPR,MDPR,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDFM,WSF1,WSFG,WSFM,WT01,WT03,WT04,WT05,WT08,WT11,WT16,WT18
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/10/1922,,,0,,0,0,,58,42,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/11/1922,,,0,,0,0,,59,46,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/12/1922,,,0,,0,0,,61,47,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/13/1922,,,0,,0,0,,58,44,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/14/1922,,,0,,0,0,,55,42,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/15/1922,,,0,,0,0,,52,38,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/16/1922,,,0.03,,0,0,,55,43,,,,,,,,,,,,,1,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/17/1922,,,0.01,,0,0,,53,44,,,,,,,,,,,,,1,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/18/1922,,,0,,0,0,,44,34,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/19/1922,,,0,,0,0,,46,32,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/20/1922,,,0,,0,0,,48,35,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/21/1922,,,0,,0,0,,49,37,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/22/1922,,,0,,0,0,,50,36,,,,,,,,,,,,,,
