STATION,NAME,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1/30/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1/31/47,,,,,16.8,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",2/1/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",2/2/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",2/3/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",2/4/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",2/5/47,,,,,27.4,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",2/6/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",2/7/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",2/8/47,,,,,10.4,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",2/9/47,,,,,5.3,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",2/10/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",2/11/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",2/12/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",2/13/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",2/14/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",2/15/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",2/16/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",2/17/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",2/18/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",2/19/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",2/20/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",2/21/47,,,,,33.5,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",2/22/47,,,,,5.3,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",2/23/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",2/24/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",2/25/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",2/26/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",2/27/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",2/28/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",3/1/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",3/2/47,,,,,0,,,,
