"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM25","NO2"
"03/13/1981","58","CO","","41-051-1002","AQS","58","27","52",".","47"
"03/14/1981","46","NO2","","41-051-1002","AQS","44","27","41",".","46"
"03/15/1981","43","CO","","41-051-0075","AQS","43","22","17",".","38"
"03/16/1981","82","SO2","","41-051-0074","AQS","39","28","82",".","44"
"03/17/1981","99","SO2","","41-051-0074","AQS","65","28","99",".","42"
"03/18/1981","56","SO2","","41-051-0074","AQS","50","29","56",".","53"
"03/19/1981","92","SO2","","41-051-0074","AQS","62","26","92",".","71"
"03/20/1981","99","SO2","","41-051-0074","AQS","74","26","99",".","44"
"03/21/1981","73","CO","","41-051-0075","AQS","73","27","52",".","49"
"03/22/1981","47","CO","","41-051-1002","AQS","47","32","19",".","42"
"03/23/1981","56","CO","","41-051-1002","AQS","56","31","16",".","47"
"03/24/1981","71","CO","","41-051-1002","AQS","71","27","30",".","49"
"03/25/1981","51","NO2","","41-051-1002","AQS","50","34","17",".","51"
"03/26/1981","117","SO2","","41-051-0074","AQS","54","31","117",".","41"
"03/27/1981","77","SO2","","41-051-0074","AQS","54","33","77",".","53"
"03/28/1981","38","NO2","","41-051-1002","AQS","38","31","14",".","38"
"03/29/1981","35","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","33","35","34",".","34"
"03/30/1981","72","CO","","41-051-1002","AQS","72","21","14",".","43"
"03/31/1981","52","NO2","","41-051-1002","AQS","36","20","3",".","52"
"04/01/1981","72","SO2","","41-051-0074","AQS","56","12","72",".","."
"04/02/1981","66","CO","","41-051-1002","AQS","66","31","10",".","."
"04/03/1981","41","SO2","","41-051-0074","AQS","40","34","41",".","."
"04/04/1981","48","CO","","41-051-1002","AQS","48","35","13",".","."
"04/05/1981","47","CO","","41-051-1002","AQS","47","37","27",".","."
"04/06/1981","70","SO2","","41-051-0074","AQS","50","33","70",".","."
"04/07/1981","50","CO","","41-051-1002","AQS","50","33","14",".","."
"04/08/1981","64","CO","","41-051-1002","AQS","64","31","6",".","."
"04/09/1981","38","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","38","38","10",".","."
"04/10/1981","64","CO","","41-051-1002","AQS","64","37","6",".","."
"04/11/1981","53","CO","","41-051-1002","AQS","53","37","11",".","."
"04/12/1981","43","SO2","","41-051-0074","AQS","39","38","43",".","."
"04/13/1981","103","SO2","","41-051-0074","AQS","41","37","103",".","."
"04/14/1981","60","SO2","","41-051-0074","AQS","53","36","60",".","."
"04/15/1981","53","CO","","41-051-1002","AQS","53","32","24",".","."
"04/16/1981","76","SO2","","41-051-0074","AQS","50","34","76",".","."
"04/17/1981","120","SO2","","41-051-0074","AQS","59","32","120",".","."
"04/18/1981","107","SO2","","41-051-0074","AQS","39","40","107",".","."
"04/19/1981","94","SO2","","41-051-0074","AQS","36","35","94",".","."
"04/20/1981","45","CO","","41-051-1002","AQS","45","34","24",".","."
"04/21/1981","71","CO","","41-051-1002","AQS","71","32","11",".","."
