"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"03/14/2015","29","Ozone","Tualatin Bradbury Court (TBC) - Near Road Site","41-067-0005","AQS","6","29","0",".","25","29"
"03/15/2015","36","Ozone","Portland - SE Lafayette","41-051-0080","AQS","6","36","0",".","17","18"
"03/16/2015","32","Ozone","Portland - SE Lafayette","41-051-0080","AQS","8","32","1","6","19","23"
"03/17/2015","27","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","7","24","1",".","27","25"
"03/18/2015","41","Ozone","Portland - SE Lafayette","41-051-0080","AQS","8","41","1",".","37","32"
"03/19/2015","55","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","14","29","3","20","55","29"
"03/20/2015","52","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","13","32","1",".","52","20"
"03/21/2015","39","Ozone","Portland - SE Lafayette","41-051-0080","AQS","5","39","1",".","28","25"
"03/22/2015","35","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","6","30","0","11","35","20"
"03/23/2015","39","Ozone","Portland - SE Lafayette","41-051-0080","AQS","5","39","1",".","25","23"
"03/24/2015","34","Ozone","Portland - SE Lafayette","41-051-0080","AQS","5","34","0",".","16","30"
"03/25/2015","28","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","8","24","1","8","28","25"
"03/26/2015","42","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","11","22","3",".","42","25"
"03/27/2015","35","Ozone","Portland - SE Lafayette","41-051-0080","AQS","13","35","3",".","33","19"
"03/28/2015","39","Ozone","Portland - SE Lafayette","41-051-0080","AQS","6","39","1","9","27","25"
"03/29/2015","38","Ozone","Portland - SE Lafayette","41-051-0080","AQS","7","38","0",".","30","26"
"03/30/2015","33","Ozone","Portland - SE Lafayette","41-051-0080","AQS","6","33","0",".","29","24"
"03/31/2015","35","Ozone","Portland - SE Lafayette","41-051-0080","AQS","6","35","0","5","17","34"
"04/01/2015","36","Ozone","Portland - SE Lafayette","41-051-0080","AQS","6","36","0",".","22","26"
"04/02/2015","36","Ozone","Portland - SE Lafayette","41-051-0080","AQS","5","36","1",".","29","23"
"04/03/2015","36","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","7","30","1","9","36","22"
"04/04/2015","51","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","8","42","1",".","51","29"
"04/05/2015","40","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","10","35","1",".","40","20"
"04/06/2015","38","Ozone","Portland - SE Lafayette","41-051-0080","AQS","5","38","1","6","17","24"
"04/07/2015","31","Ozone","Portland - SE Lafayette","41-051-0080","AQS","6","31","1",".","17","24"
"04/08/2015","30","Ozone","Portland - SE Lafayette","41-051-0080","AQS","5","30","0",".","23","25"
"04/09/2015","42","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","8","35","1","12","42","25"
"04/10/2015","37","Ozone","Portland - SE Lafayette","41-051-0080","AQS","11","37","1",".","28","21"
"04/11/2015","39","Ozone","Portland - SE Lafayette","41-051-0080","AQS","5","39","0",".","20","21"
"04/12/2015","42","Ozone","Portland - SE Lafayette","41-051-0080","AQS","5","42","0","9","27","25"
