Identification,Latitude,Longitude,Time of Observation,Sea Surface Temperature
ATGM1,44.4,291.8,2015-01-02T19:54:00,4.7
ATGM1,44.4,291.8,2015-01-02T20:00:00,4.6
ATGM1,44.4,291.8,2015-01-02T20:06:00,4.6
ATGM1,44.4,291.8,2015-01-02T20:12:00,4.6
ATGM1,44.4,291.8,2015-01-02T20:18:00,4.6
ATGM1,44.4,291.8,2015-01-02T20:24:00,4.6
ATGM1,44.4,291.8,2015-01-02T20:30:00,4.5
ATGM1,44.4,291.8,2015-01-02T20:36:00,4.5
ATGM1,44.4,291.8,2015-01-02T20:42:00,4.4
ATGM1,44.4,291.8,2015-01-02T20:48:00,4.4
ATGM1,44.4,291.8,2015-01-02T20:54:00,4.4
ATGM1,44.4,291.8,2015-01-02T21:00:00,4.5
ATGM1,44.4,291.8,2015-01-02T21:06:00,4.5
ATGM1,44.4,291.8,2015-01-02T21:12:00,4.5
ATGM1,44.4,291.8,2015-01-02T21:24:00,4.5
ATGM1,44.4,291.8,2015-01-02T21:30:00,4.5
ATGM1,44.4,291.8,2015-01-02T21:36:00,4.5
