STATION,STATION_NAME,DATE,TAVG,TMAX,TMIN
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300729,-9999,95,75
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300730,-9999,95,73
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300731,-9999,93,72
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300801,-9999,89,71
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300802,-9999,88,69
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300803,-9999,89,73
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300804,-9999,91,72
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300805,-9999,95,73
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300806,-9999,98,76
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300807,-9999,96,77
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300808,-9999,95,74
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300809,-9999,92,70
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300810,-9999,90,72
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300811,-9999,87,72
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300812,-9999,87,71
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300813,-9999,84,69
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300814,-9999,78,68
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300815,-9999,86,69
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300816,-9999,91,70
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300817,-9999,91,73
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300818,-9999,85,70
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300819,-9999,84,71
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300820,-9999,84,71
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300821,-9999,81,60
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300822,-9999,76,57
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300823,-9999,77,59
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300824,-9999,84,66
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300825,-9999,87,66
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300826,-9999,89,70
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300827,-9999,87,68
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300828,-9999,90,71
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300829,-9999,93,72
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300830,-9999,89,73
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300831,-9999,90,73
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300901,-9999,92,72
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300902,-9999,91,72
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300903,-9999,91,72
